date,Default,Late,In Grace Period
2019-02-25,0.0225806451613,0.0354838709677,0.00322580645161
2019-02-26,0.0225080385852,0.0353697749196,0.0032154340836
2019-02-27,0.0225080385852,0.0385852090032,0.0032154340836
2019-02-28,0.0220820189274,0.0378548895899,0.00315457413249
2019-03-01,0.0217391304348,0.0372670807453,0.0
2019-03-02,0.0216718266254,0.0371517027864,0.0
2019-03-03,0.0217391304348,0.0372670807453,0.0
2019-03-04,0.0216049382716,0.037037037037,0.0
2019-03-05,0.021472392638,0.0368098159509,0.00306748466258
2019-03-06,0.021472392638,0.0368098159509,0.0122699386503
2019-03-07,0.021472392638,0.0368098159509,0.0153374233129
2019-03-08,0.021472392638,0.0368098159509,0.0153374233129
2019-03-09,0.021472392638,0.0368098159509,0.0153374233129
2019-03-10,0.0215384615385,0.0369230769231,0.0153846153846
2019-03-11,0.0215384615385,0.0369230769231,0.00923076923077
2019-03-12,0.0215384615385,0.0369230769231,0.00615384615385
2019-03-13,0.021472392638,0.0368098159509,0.0122699386503
2019-03-14,0.021472392638,0.0368098159509,0.0153374233129
2019-03-15,0.0212765957447,0.0364741641337,0.0182370820669
2019-03-16,0.0212765957447,0.0425531914894,0.0121580547112
2019-03-17,0.0213414634146,0.0426829268293,0.0121951219512
2019-03-18,0.0212765957447,0.0425531914894,0.0121580547112
2019-03-19,0.0214067278287,0.0428134556575,0.0122324159021
2019-03-20,0.0213414634146,0.0426829268293,0.00914634146341
2019-03-21,0.0211480362538,0.0422960725076,0.00906344410876
2019-03-22,0.021021021021,0.042042042042,0.00900900900901
2019-03-23,0.021021021021,0.045045045045,0.00600600600601
2019-03-24,0.021021021021,0.045045045045,0.00600600600601
2019-03-25,0.0207715133531,0.0415430267062,0.00593471810089
2019-03-26,0.0206489675516,0.047197640118,0.00294985250737
2019-03-27,0.0236686390533,0.0473372781065,0.00295857988166
2019-03-28,0.0236686390533,0.0473372781065,0.00295857988166
2019-03-29,0.0266272189349,0.0443786982249,0.00295857988166
2019-03-30,0.0266272189349,0.0443786982249,0.00295857988166
2019-03-31,0.0266272189349,0.0443786982249,0.00295857988166
2019-04-01,0.0266272189349,0.0443786982249,0.00295857988166
2019-04-02,0.0265486725664,0.0442477876106,0.00294985250737
2019-04-03,0.0265486725664,0.0412979351032,0.00294985250737
2019-04-04,0.0265486725664,0.0383480825959,0.0
2019-04-05,0.0265486725664,0.0383480825959,0.00589970501475
2019-04-06,0.0264705882353,0.0382352941176,0.00588235294118
2019-04-07,0.0263929618768,0.0381231671554,0.0058651026393
2019-04-08,0.0263157894737,0.0380116959064,0.00877192982456
2019-04-09,0.0262390670554,0.0379008746356,0.00874635568513
2019-04-10,0.0261627906977,0.0377906976744,0.0116279069767
2019-04-11,0.0258620689655,0.0373563218391,0.014367816092
2019-04-12,0.0259365994236,0.0374639769452,0.0172910662824
2019-04-13,0.0287356321839,0.0344827586207,0.0172413793103
2019-04-14,0.0317002881844,0.0317002881844,0.0172910662824
2019-04-15,0.0317002881844,0.0345821325648,0.00864553314121
2019-04-16,0.0316091954023,0.0344827586207,0.0114942528736
